iter	Logloss
0	0.6164511572
1	0.5538959473
2	0.5037543848
3	0.4605763135
4	0.4263524023
5	0.3982130664
6	0.3754309717
7	0.3563036597
8	0.3400925903
9	0.3232136353
10	0.3131724487
11	0.3041430322
12	0.2967287622
13	0.2865682324
14	0.2817677661
15	0.2769803589
16	0.2730700903
17	0.2685068237
18	0.2654839307
19	0.2602285913
20	0.2563357568
21	0.2544697827
22	0.2527956909
23	0.2491909692
24	0.2477071509
25	0.244931084
26	0.243720127
27	0.2413084912
28	0.2396764624
29	0.2381887598
30	0.2363160962
31	0.2344556787
32	0.2328479272
33	0.2301193042
34	0.2290470337
35	0.2281348877
36	0.2266771753
37	0.2260087671
38	0.2248462769
39	0.2239158472
40	0.2232370923
41	0.2224187866
42	0.2216552319
43	0.2212392847
44	0.2207323853
45	0.2202375049
46	0.2196399463
47	0.2180541406
48	0.2176015234
49	0.2170298535
50	0.2167107227
51	0.2163177856
52	0.2159780908
53	0.2152671265
54	0.2150489087
55	0.2148832544
56	0.2146137085
57	0.2143327661
58	0.2141521216
59	0.2136564648
60	0.2134405029
61	0.2131521069
62	0.2127552637
63	0.2124780957
64	0.2120251953
65	0.2111403687
66	0.210974248
67	0.2106774731
68	0.2104610767
69	0.2102812451
70	0.2101132471
71	0.2098619629
72	0.2097614648
73	0.2096260303
74	0.2093904102
75	0.2093209229
76	0.2089600537
77	0.2087415344
78	0.2086346167
79	0.2084706116
80	0.2083886768
81	0.2082975305
82	0.2081814209
83	0.2079603613
84	0.2077485913
85	0.2075811584
86	0.2073092981
87	0.2073067847
88	0.2072023291
89	0.2071308105
90	0.2070121606
91	0.2069337805
92	0.2068918481
93	0.2066687561
94	0.206572793
95	0.206394834
96	0.2062804968
97	0.2061126099
98	0.2058136536
99	0.205740481
100	0.2056784375
101	0.2055974658
102	0.2055011072
103	0.2053494189
104	0.2051697229
105	0.2051213416
106	0.2050481006
107	0.2049427954
108	0.2047786633
109	0.2047141309
110	0.2046609241
111	0.2045659521
112	0.204401438
113	0.2041016675
114	0.2040237915
115	0.2039523743
116	0.2039047961
117	0.2038555029
118	0.2038133594
119	0.2036309778
120	0.2035813025
121	0.2034152087
122	0.2032374194
123	0.2031636938
124	0.2031145508
125	0.2030154041
126	0.2028812292
127	0.2028275647
128	0.2027672107
129	0.2027094519
130	0.2024649011
131	0.2023841199
132	0.2023140955
133	0.202062843
134	0.201962124
135	0.2019032104
136	0.2018445361
137	0.2017701953
138	0.2016113733
139	0.2014543213
140	0.2013941919
141	0.2012283936
142	0.2011349268
143	0.2010759253
144	0.2010299817
145	0.2009683826
146	0.2009167603
147	0.2008455127
148	0.2007799536
149	0.2007179431
150	0.2006586975
151	0.2006150208
152	0.2005551794
153	0.200498634
154	0.2004412012
155	0.2003807959
156	0.2002334961
157	0.2001975134
158	0.2000941858
159	0.1998860461
160	0.1998273059
161	0.1996532727
162	0.199470481
163	0.199422915
164	0.1993814136
165	0.1993274927
166	0.1992739905
167	0.1992346887
168	0.1990655054
169	0.1990252466
170	0.1989073999
171	0.1988091333
172	0.1987542175
173	0.1986978979
174	0.1986350049
175	0.1985489246
176	0.1984784277
177	0.1983859473
178	0.1983341772
179	0.1982838184
180	0.1982334937
181	0.1981962524
182	0.1981495752
183	0.1979912439
184	0.1979400415
185	0.1978646021
186	0.1977755737
187	0.1976969287
188	0.197640094
189	0.1975918823
190	0.1975167249
191	0.1972013318
192	0.1971522156
193	0.1970868225
194	0.1970041577
195	0.1969493652
196	0.1968913391
197	0.1968495874
198	0.1968115955
199	0.1967648193
200	0.1967032385
201	0.1966513989
202	0.1965225732
203	0.1964682532
204	0.1962153247
205	0.1961557715
206	0.1961134216
207	0.1960652673
208	0.1959995544
209	0.1959671729
210	0.195703645
211	0.1956600989
212	0.1956215649
213	0.1955650061
214	0.1955192761
215	0.1954741003
216	0.195410741
217	0.1953662317
218	0.1952607983
219	0.1952053296
220	0.1951504761
221	0.1951000269
222	0.1950556055
223	0.1950056482
224	0.194964248
225	0.1949019788
226	0.1947948999
227	0.194734707
228	0.1946934424
229	0.1946264954
230	0.1945359314
231	0.1945008679
232	0.1944473157
233	0.1943902124
234	0.1943455786
235	0.1943023584
236	0.1942555627
237	0.1941270618
238	0.194090199
239	0.1940460681
240	0.1940050037
241	0.1939599451
242	0.1939182031
243	0.1938610718
244	0.1937936072
245	0.1937551794
246	0.1936904895
247	0.1935620422
248	0.1935186096
249	0.1934557129
250	0.1934157739
251	0.1933807043
252	0.1932813879
253	0.1932402881
254	0.193203374
255	0.193168208
256	0.1929155359
257	0.1928588538
258	0.1928083594
259	0.1927740186
260	0.192736167
261	0.1926827686
262	0.1926132251
263	0.1925748145
264	0.1925307202
265	0.1924980042
266	0.1924638696
267	0.1924329346
268	0.1923705554
269	0.1923272778
270	0.1922811963
271	0.1922324255
272	0.1921723535
273	0.1921352795
274	0.1920995654
275	0.1920538892
276	0.1920008899
277	0.191944386
278	0.1918990063
279	0.1918589136
280	0.1916372534
281	0.1915979297
282	0.1915518408
283	0.1915131641
284	0.1914639172
285	0.1914254333
286	0.1913882532
287	0.1913369006
288	0.1912949426
289	0.1911884949
290	0.1911535071
291	0.1911010999
292	0.1910624426
293	0.1910235767
294	0.1909853613
295	0.1909384424
296	0.1908906604
297	0.1908472571
298	0.1907211768
299	0.1906823621
300	0.1906311621
301	0.1905889099
302	0.1905352551
303	0.1904849048
304	0.1904559497
305	0.19039745
306	0.1903676794
307	0.1903333423
308	0.1902984009
309	0.1902375684
310	0.1902036475
311	0.1901671814
312	0.1901181494
313	0.1900810596
314	0.1900343933
315	0.1899919226
316	0.1899602197
317	0.189920144
318	0.1898719507
319	0.1898396912
320	0.1898035925
321	0.1897673584
322	0.1897338159
323	0.1896628223
324	0.1896195569
325	0.1895738159
326	0.1895047314
327	0.1894567627
328	0.1894130811
329	0.1893782532
330	0.1893442151
331	0.1892995239
332	0.1892626904
333	0.1892318164
334	0.1891665137
335	0.1891303552
336	0.1891005029
337	0.1890627087
338	0.1890217712
339	0.1889689368
340	0.1889408325
341	0.1888773462
342	0.1888192139
343	0.1887609033
344	0.1887163733
345	0.1886662317
346	0.1886252478
347	0.1885954285
348	0.1885687085
349	0.1885293127
350	0.1884865979
351	0.1884417322
352	0.1883971631
353	0.1883708301
354	0.1882560645
355	0.1882211658
356	0.1881794299
357	0.1880907129
358	0.1880471924
359	0.188015321
360	0.1879274219
361	0.1878812683
362	0.1878574536
363	0.1878273035
364	0.1877926233
365	0.187750199
366	0.1877086914
367	0.187674812
368	0.1876354895
369	0.1875994629
370	0.1875054639
371	0.1874694861
372	0.1874316882
373	0.1873779138
