iter	Passed	Remaining
0	163	162854
1	175	87336
2	187	62429
3	199	49687
4	210	41855
5	222	36913
6	235	33400
7	245	30475
8	258	28432
9	272	26978
10	284	25571
11	296	24373
12	311	23622
13	324	22882
14	338	22196
15	349	21518
16	359	20814
17	372	20321
18	383	19796
19	397	19454
20	407	18979
21	417	18575
22	428	18188
23	439	17866
24	451	17590
25	463	17344
26	473	17077
27	485	16864
28	497	16658
29	507	16409
30	520	16258
31	532	16108
32	543	15919
33	554	15744
34	565	15595
35	579	15512
36	590	15373
37	602	15240
38	613	15105
39	624	14983
40	635	14873
41	648	14788
42	659	14678
43	669	14548
44	679	14428
45	690	14328
46	703	14258
47	715	14196
48	726	14094
49	737	14007
50	747	13906
51	757	13808
52	770	13767
53	781	13690
54	792	13625
55	803	13545
56	814	13470
57	823	13376
58	835	13318
59	845	13251
60	855	13176
61	867	13126
62	877	13057
63	888	12989
64	901	12962
65	912	12908
66	922	12851
67	934	12808
68	944	12747
69	954	12687
70	972	12725
71	983	12674
72	995	12640
73	1005	12583
74	1015	12527
75	1027	12488
76	1040	12477
77	1051	12434
78	1063	12397
79	1073	12344
80	1082	12284
81	1094	12253
82	1105	12214
83	1116	12173
84	1126	12127
85	1137	12084
86	1147	12038
87	1153	11957
88	1165	11930
89	1176	11895
90	1187	11857
91	1198	11828
92	1208	11789
93	1219	11755
94	1232	11738
95	1242	11702
96	1254	11680
97	1266	11652
98	1277	11629
99	1292	11630
100	1304	11606
101	1314	11573
102	1326	11549
103	1335	11507
104	1346	11473
105	1358	11453
106	1369	11427
107	1379	11390
108	1389	11356
109	1398	11317
110	1408	11282
111	1420	11266
112	1432	11240
113	1444	11228
114	1458	11220
115	1469	11197
116	1480	11174
117	1494	11167
118	1506	11155
119	1519	11145
120	1531	11122
121	1545	11125
122	1560	11128
123	1571	11104
124	1582	11078
125	1593	11054
126	1604	11029
127	1615	11006
128	1627	10988
129	1638	10964
130	1648	10937
131	1661	10923
132	1672	10904
133	1687	10908
134	1698	10884
135	1709	10860
136	1721	10845
